9,480,15389,230807541
75,731882537,6902,0047
1864680739,144,425021,193080686
,5260406,0059432,59809
46,0706939,6640669834,15868
290658,1612265209,2350623,6364763105
3777544,28,4017913,97335
9145659463,,,228938
89,642557,56,755389
00574230,16933082,1224878,1695178605
883818307,5841485623,50961402,8534
56,2279663397,,5685
,52,0,473077
100739,5081726,,4888577638
72314123,837736288,61130438,426993
9,0785090,,3942867819
2,03758,932,841175178
0077662226,447037,79,0511
4,5275,47211885,3
147799,7859919,1879694461,720154
,847,248496,336368675
745,21798,476996916,20
,4,,
55271420,2722489,18887,57763
1,21966488,530,010929836
6292624,086457,,4
92144,5351,613084,92
405,601709542,01,9007736745
0161,4354316,01199930,276288190
91445,90998,49,01502
887,99806,7410421567,
207,47913,,486262879
497088195,870606,778017288,23
00062,341,002,
,1449,9522902,
7445,8693,0758512,8877
3223652,8357123,4116609,858561
010378,154501,518410,09919
,7945159162,0461783,
,566837,,84
776219516,151,92,237724
14221,17179,3,826079
90919,395063230,484824,765
,6690330999,7643875956,92979190
34508651,9009,50,5503417
,6013,2828,98084
9,1,651913,34211202
8546506208,128689,500384824,24626
56,521,99960,44740
73776,0513,74871157,99492
130037,,8,386532334
37058517,1658307660,187,926785385
77146,2052688486,,461190
46840,3610774614,23981145,059372917
372,9,98463672,0192483240
,4660537,964,4564242627
0081366,93833129,33464,5123118
3480570720,47706699,333,852165
71027,1515506954,87,6968
0423746,274243620,0257,80814
598,,65,85104
